invoice_id,branch,city,customer_type,gender,product_line,product,unit_price,quantity,tax,total,date_venda,time_venda,payment,cogs,gross_margin,gross_income,rating
INV-0028,C,Brasília,Membro,Feminino,Moda e Acessórios,Tênis,280.32,7,98.11,2060.35,2024-12-19,12:34:00,Pix,1962.24,26.83,552.79,4.7
INV-0029,C,Brasília,Normal,Masculino,Eletrônicos,Notebook,30.5,6,9.15,192.15,2024-01-21,15:13:00,Cartão de Débito,183.0,36.97,71.04,8.8
INV-0030,C,Brasília,Normal,Masculino,Beleza e Cuidados,Hidratante,487.18,3,73.08,1534.62,2024-03-24,12:56:00,Pix,1461.54,37.77,579.63,5.4
INV-0031,A,São Paulo,Normal,Feminino,Casa e Jardim,Luminária,140.73,2,14.07,295.53,2024-08-28,13:12:00,Cartão de Débito,281.46,21.48,63.48,4.2
INV-0032,B,Rio de Janeiro,Membro,Masculino,Casa e Jardim,Tapete,333.42,7,116.7,2450.64,2024-05-22,15:41:00,Cartão de Crédito,2333.94,19.85,486.45,9.2
INV-0033,C,Brasília,Membro,Feminino,Esporte e Saúde,Suplemento,439.75,5,109.94,2308.69,2024-05-15,10:06:00,Cartão de Crédito,2198.75,15.36,354.61,9.8
INV-0034,B,Rio de Janeiro,Normal,Feminino,Esporte e Saúde,Suplemento,198.75,10,99.38,2086.88,2024-08-11,10:33:00,Cartão de Crédito,1987.5,15.7,327.64,4.3
INV-0035,B,Rio de Janeiro,Membro,Feminino,Esporte e Saúde,Tênis Corrida,315.35,2,31.54,662.24,2024-06-07,20:26:00,Dinheiro,630.7,31.59,209.2,5.8
INV-0036,C,Brasília,Membro,Feminino,Moda e Acessórios,Óculos de Sol,216.02,7,75.61,1587.75,2024-11-11,19:19:00,Cartão de Débito,1512.14,30.32,481.41,9.4
INV-0037,A,São Paulo,Normal,Feminino,Casa e Jardim,Quadro,220.65,10,110.33,2316.83,2024-08-14,17:43:00,Cartão de Débito,2206.5,28.2,653.35,5.9
INV-0038,B,Rio de Janeiro,Membro,Masculino,Alimentos e Bebidas,Snack Orgânico,262.57,10,131.28,2756.98,2024-04-30,20:19:00,Dinheiro,2625.7,20.06,553.05,8.9
INV-0039,A,São Paulo,Membro,Masculino,Alimentos e Bebidas,Chocolate Importado,492.13,10,246.07,5167.37,2024-07-31,20:36:00,Cartão de Débito,4921.3,35.49,1833.9,4.4
INV-0040,B,Rio de Janeiro,Membro,Feminino,Alimentos e Bebidas,Suco Natural,331.47,1,16.57,348.04,2024-02-24,16:14:00,Cartão de Débito,331.47,36.78,128.01,9.2
INV-0041,B,Rio de Janeiro,Membro,Masculino,Alimentos e Bebidas,Snack Orgânico,233.67,8,93.47,1962.83,2024-10-31,15:48:00,Cartão de Crédito,1869.36,30.03,589.44,9.9
INV-0042,C,Brasília,Normal,Feminino,Casa e Jardim,Quadro,374.39,8,149.76,3144.88,2024-11-22,14:49:00,Cartão de Débito,2995.12,23.5,739.05,8.5
INV-0043,C,Brasília,Normal,Masculino,Esporte e Saúde,Suplemento,47.97,5,11.99,251.84,2024-10-03,11:08:00,Pix,239.85,17.03,42.89,6.0
INV-0044,B,Rio de Janeiro,Membro,Masculino,Alimentos e Bebidas,Chocolate Importado,213.29,6,63.99,1343.73,2024-04-15,16:24:00,Cartão de Crédito,1279.74,26.28,353.13,6.5
INV-0045,C,Brasília,Normal,Feminino,Esporte e Saúde,Whey Protein,471.94,5,117.98,2477.68,2024-08-02,18:47:00,Cartão de Crédito,2359.7,32.6,807.72,9.1
INV-0046,C,Brasília,Normal,Masculino,Beleza e Cuidados,Sérum Facial,143.74,8,57.5,1207.42,2024-12-13,16:46:00,Cartão de Débito,1149.92,10.87,131.25,6.0
INV-0047,A,São Paulo,Normal,Masculino,Alimentos e Bebidas,Suco Natural,51.13,7,17.9,375.81,2024-01-26,14:24:00,Cartão de Crédito,357.91,14.07,52.88,6.8
INV-0048,B,Rio de Janeiro,Normal,Feminino,Moda e Acessórios,Tênis,146.35,7,51.22,1075.67,2024-01-10,18:03:00,Pix,1024.45,17.57,189.0,4.5
INV-0049,C,Brasília,Membro,Masculino,Moda e Acessórios,Tênis,475.31,4,95.06,1996.3,2024-05-02,12:30:00,Cartão de Crédito,1901.24,35.18,702.3,7.7
INV-0050,C,Brasília,Normal,Masculino,Beleza e Cuidados,Perfume,385.78,3,57.87,1215.21,2024-02-28,12:19:00,Dinheiro,1157.34,28.18,342.45,9.8
INV-0051,A,São Paulo,Normal,Feminino,Eletrônicos,Smartwatch,471.32,4,94.26,1979.54,2024-11-17,13:06:00,Pix,1885.28,12.28,243.09,8.1
INV-0052,C,Brasília,Membro,Masculino,Beleza e Cuidados,Shampoo Premium,271.05,6,81.31,1707.61,2024-01-07,16:52:00,Dinheiro,1626.3,12.07,206.11,7.9
INV-0053,B,Rio de Janeiro,Normal,Feminino,Casa e Jardim,Luminária,223.39,9,100.53,2111.04,2024-10-02,17:29:00,Cartão de Débito,2010.51,38.96,822.46,5.6
INV-0054,B,Rio de Janeiro,Membro,Feminino,Casa e Jardim,Quadro,146.67,8,58.67,1232.03,2024-11-08,20:24:00,Cartão de Crédito,1173.36,17.32,213.39,6.8
INV-0055,B,Rio de Janeiro,Membro,Feminino,Moda e Acessórios,Camiseta,113.94,5,28.49,598.19,2024-12-25,14:35:00,Pix,569.7,20.21,120.89,9.3
INV-0056,A,São Paulo,Membro,Masculino,Eletrônicos,Smartwatch,249.4,4,49.88,1047.48,2024-09-08,17:50:00,Pix,997.6,30.72,321.79,7.9
INV-0057,B,Rio de Janeiro,Normal,Masculino,Eletrônicos,Smartphone,160.04,10,80.02,1680.42,2024-06-25,16:47:00,Cartão de Débito,1600.4,21.07,354.06,7.3
INV-0058,B,Rio de Janeiro,Normal,Feminino,Esporte e Saúde,Yoga Mat,133.19,2,13.32,279.7,2024-10-01,12:12:00,Dinheiro,266.38,31.64,88.5,5.9
INV-0059,B,Rio de Janeiro,Membro,Feminino,Alimentos e Bebidas,Suco Natural,155.16,6,46.55,977.51,2024-09-30,12:17:00,Cartão de Débito,930.96,15.38,150.34,4.1
INV-0060,C,Brasília,Membro,Feminino,Eletrônicos,Smartphone,60.27,1,3.01,63.28,2024-08-13,15:11:00,Pix,60.27,27.22,17.22,6.8
INV-0061,B,Rio de Janeiro,Membro,Masculino,Eletrônicos,Notebook,250.96,10,125.48,2635.08,2024-03-17,19:19:00,Pix,2509.6,28.88,761.01,4.3
INV-0062,A,São Paulo,Membro,Feminino,Eletrônicos,Tablet,230.75,8,92.3,1938.3,2024-08-07,14:36:00,Pix,1846.0,18.92,366.73,7.5
INV-0063,C,Brasília,Membro,Masculino,Esporte e Saúde,Whey Protein,139.68,2,13.97,293.33,2024-02-08,12:00:00,Cartão de Débito,279.36,14.71,43.15,5.0
INV-0064,C,Brasília,Normal,Feminino,Casa e Jardim,Almofada,123.42,5,30.86,647.96,2024-12-17,13:59:00,Cartão de Crédito,617.1,31.09,201.45,6.7
INV-0065,C,Brasília,Normal,Masculino,Moda e Acessórios,Relógio,276.84,3,41.53,872.05,2024-02-06,10:10:00,Cartão de Crédito,830.52,37.25,324.84,9.0
INV-0066,C,Brasília,Normal,Feminino,Moda e Acessórios,Relógio,239.66,5,59.91,1258.21,2024-09-13,18:31:00,Cartão de Crédito,1198.3,30.99,389.92,9.7
INV-0067,C,Brasília,Normal,Masculino,Casa e Jardim,Luminária,305.82,1,15.29,321.11,2024-10-21,19:01:00,Dinheiro,305.82,12.74,40.91,9.8
INV-0068,C,Brasília,Membro,Masculino,Beleza e Cuidados,Shampoo Premium,264.29,8,105.72,2220.04,2024-10-26,16:40:00,Pix,2114.32,37.48,832.07,5.1
INV-0069,B,Rio de Janeiro,Normal,Feminino,Casa e Jardim,Luminária,167.32,2,16.73,351.37,2024-12-21,17:18:00,Dinheiro,334.64,35.73,125.54,6.0
INV-0070,C,Brasília,Normal,Masculino,Beleza e Cuidados,Protetor Solar,164.11,6,49.23,1033.89,2024-09-20,10:42:00,Cartão de Crédito,984.66,13.48,139.37,8.6
INV-0071,B,Rio de Janeiro,Membro,Masculino,Esporte e Saúde,Suplemento,315.09,8,126.04,2646.76,2024-04-14,14:35:00,Dinheiro,2520.72,28.76,761.21,8.6
INV-0072,B,Rio de Janeiro,Membro,Feminino,Alimentos e Bebidas,Vinho Tinto,486.84,10,243.42,5111.82,2024-06-08,18:00:00,Cartão de Crédito,4868.4,33.98,1737.0,8.3
INV-0073,A,São Paulo,Membro,Masculino,Esporte e Saúde,Suplemento,474.06,3,71.11,1493.29,2024-09-17,14:26:00,Pix,1422.18,24.95,372.58,8.3
INV-0074,A,São Paulo,Membro,Feminino,Casa e Jardim,Almofada,103.4,10,51.7,1085.7,2024-02-05,14:49:00,Pix,1034.0,25.25,274.14,9.3
INV-0075,C,Brasília,Membro,Feminino,Casa e Jardim,Tapete,365.76,10,182.88,3840.48,2024-03-17,17:34:00,Dinheiro,3657.6,27.4,1052.29,8.0
INV-0076,B,Rio de Janeiro,Normal,Feminino,Casa e Jardim,Tapete,436.1,4,87.22,1831.62,2024-07-29,10:20:00,Dinheiro,1744.4,27.15,497.28,5.4
INV-0077,C,Brasília,Normal,Feminino,Beleza e Cuidados,Protetor Solar,252.71,1,12.64,265.35,2024-06-18,11:55:00,Cartão de Débito,252.71,13.79,36.59,9.8
INV-0078,C,Brasília,Membro,Feminino,Casa e Jardim,Luminária,210.89,3,31.63,664.3,2024-05-15,15:39:00,Cartão de Débito,632.67,12.24,81.31,8.7
INV-0079,C,Brasília,Normal,Masculino,Beleza e Cuidados,Protetor Solar,477.53,8,191.01,4011.25,2024-02-05,13:40:00,Pix,3820.24,36.17,1450.87,4.2
INV-0080,A,São Paulo,Normal,Masculino,Beleza e Cuidados,Shampoo Premium,382.58,2,38.26,803.42,2024-01-15,10:20:00,Cartão de Crédito,765.16,23.31,187.28,8.2
INV-0081,B,Rio de Janeiro,Normal,Feminino,Eletrônicos,Notebook,129.66,7,45.38,953.0,2024-03-28,12:05:00,Cartão de Débito,907.62,26.98,257.12,8.8
INV-0082,C,Brasília,Normal,Masculino,Esporte e Saúde,Suplemento,123.77,5,30.94,649.79,2024-08-26,14:43:00,Cartão de Débito,618.85,23.79,154.59,8.0
INV-0083,A,São Paulo,Normal,Feminino,Esporte e Saúde,Tênis Corrida,323.08,7,113.08,2374.64,2024-06-03,13:24:00,Dinheiro,2261.56,30.71,729.25,6.7
INV-0084,A,São Paulo,Normal,Feminino,Casa e Jardim,Luminária,496.42,5,124.11,2606.21,2024-07-21,14:00:00,Dinheiro,2482.1,10.66,277.82,9.0
INV-0085,C,Brasília,Normal,Feminino,Esporte e Saúde,Whey Protein,307.46,6,92.24,1937.0,2024-05-08,20:48:00,Cartão de Débito,1844.76,16.57,320.96,5.1
INV-0086,C,Brasília,Membro,Masculino,Beleza e Cuidados,Hidratante,396.42,1,19.82,416.24,2024-02-16,14:20:00,Dinheiro,396.42,27.39,114.01,8.4
INV-0087,A,São Paulo,Membro,Masculino,Beleza e Cuidados,Protetor Solar,270.12,5,67.53,1418.13,2024-09-03,14:47:00,Dinheiro,1350.6,34.91,495.07,5.5
INV-0088,B,Rio de Janeiro,Membro,Masculino,Moda e Acessórios,Camiseta,431.47,7,151.01,3171.3,2024-07-06,11:50:00,Cartão de Débito,3020.29,39.02,1237.44,8.8
INV-0089,B,Rio de Janeiro,Normal,Masculino,Casa e Jardim,Luminária,339.69,5,84.92,1783.37,2024-07-09,11:43:00,Dinheiro,1698.45,27.54,491.14,8.9
INV-0090,A,São Paulo,Membro,Feminino,Alimentos e Bebidas,Suco Natural,321.35,8,128.54,2699.34,2024-07-28,11:08:00,Cartão de Crédito,2570.8,37.28,1006.31,5.8
INV-0091,B,Rio de Janeiro,Membro,Feminino,Eletrônicos,Smartphone,125.05,9,56.27,1181.72,2024-12-09,18:26:00,Cartão de Crédito,1125.45,14.07,166.27,6.7
INV-0092,B,Rio de Janeiro,Normal,Masculino,Esporte e Saúde,Tênis Corrida,470.14,5,117.53,2468.23,2024-08-15,17:15:00,Pix,2350.7,10.98,271.01,6.2
INV-0093,C,Brasília,Normal,Feminino,Moda e Acessórios,Camiseta,205.09,4,41.02,861.38,2024-08-20,11:42:00,Cartão de Crédito,820.36,39.05,336.37,9.7
INV-0094,A,São Paulo,Normal,Masculino,Alimentos e Bebidas,Snack Orgânico,494.52,10,247.26,5192.46,2024-10-10,13:37:00,Cartão de Débito,4945.2,16.16,839.1,9.0
INV-0095,B,Rio de Janeiro,Membro,Masculino,Alimentos e Bebidas,Chocolate Importado,430.62,3,64.59,1356.45,2024-03-30,11:42:00,Dinheiro,1291.86,39.63,537.56,7.2
INV-0096,A,São Paulo,Membro,Feminino,Eletrônicos,Tablet,17.73,5,4.43,93.08,2024-09-26,11:47:00,Dinheiro,88.65,11.57,10.77,8.5
INV-0097,B,Rio de Janeiro,Membro,Feminino,Eletrônicos,Fone de Ouvido,256.88,10,128.44,2697.24,2024-12-03,18:19:00,Pix,2568.8,11.3,304.79,8.7
INV-0098,A,São Paulo,Normal,Feminino,Casa e Jardim,Luminária,346.19,8,138.48,2908.0,2024-02-11,15:38:00,Pix,2769.52,31.37,912.24,6.7
INV-0099,A,São Paulo,Normal,Feminino,Alimentos e Bebidas,Café Premium,497.37,9,223.82,4700.15,2024-08-08,11:50:00,Pix,4476.33,18.85,885.98,7.0
INV-0100,C,Brasília,Normal,Masculino,Beleza e Cuidados,Perfume,445.16,7,155.81,3271.93,2024-07-31,11:20:00,Pix,3116.12,20.17,659.95,6.7
INV-0101,C,Brasília,Normal,Feminino,Casa e Jardim,Tapete,346.54,8,138.62,2910.94,2024-02-17,16:06:00,Cartão de Débito,2772.32,12.01,349.6,9.0
INV-0102,A,São Paulo,Normal,Masculino,Beleza e Cuidados,Shampoo Premium,211.3,7,73.95,1553.05,2024-05-27,19:19:00,Cartão de Crédito,1479.1,36.04,559.72,8.3
INV-0103,C,Brasília,Membro,Masculino,Moda e Acessórios,Camiseta,119.88,2,11.99,251.75,2024-02-28,14:36:00,Pix,239.76,20.5,51.61,7.3
INV-0104,C,Brasília,Normal,Masculino,Alimentos e Bebidas,Suco Natural,98.4,5,24.6,516.6,2024-04-02,12:36:00,Cartão de Crédito,492.0,37.65,194.5,6.1
INV-0105,A,São Paulo,Membro,Masculino,Beleza e Cuidados,Protetor Solar,375.59,4,75.12,1577.48,2024-03-21,15:19:00,Cartão de Crédito,1502.36,21.29,335.85,6.7
INV-0106,C,Brasília,Membro,Masculino,Beleza e Cuidados,Shampoo Premium,87.13,10,43.56,914.86,2024-08-14,20:27:00,Cartão de Débito,871.3,11.49,105.12,4.5
INV-0107,B,Rio de Janeiro,Normal,Feminino,Casa e Jardim,Quadro,379.92,2,37.99,797.83,2024-12-13,20:37:00,Cartão de Débito,759.84,20.36,162.44,4.7
INV-0108,C,Brasília,Membro,Feminino,Casa e Jardim,Quadro,203.68,10,101.84,2138.64,2024-04-18,12:48:00,Cartão de Débito,2036.8,11.64,248.94,5.2
INV-0109,B,Rio de Janeiro,Membro,Masculino,Moda e Acessórios,Bolsa,376.04,3,56.41,1184.53,2024-04-27,18:35:00,Pix,1128.12,13.88,164.41,7.2
INV-0110,A,São Paulo,Membro,Feminino,Beleza e Cuidados,Shampoo Premium,19.18,2,1.92,40.28,2024-10-20,16:45:00,Pix,38.36,35.86,14.44,7.5
INV-0111,B,Rio de Janeiro,Normal,Masculino,Beleza e Cuidados,Protetor Solar,483.44,3,72.52,1522.84,2024-12-19,15:05:00,Cartão de Crédito,1450.32,34.04,518.37,7.7
INV-0112,A,São Paulo,Normal,Feminino,Casa e Jardim,Luminária,203.93,5,50.98,1070.63,2024-03-27,11:32:00,Cartão de Crédito,1019.65,32.37,346.56,5.3
INV-0113,C,Brasília,Normal,Masculino,Beleza e Cuidados,Perfume,366.42,3,54.96,1154.22,2024-04-11,12:38:00,Dinheiro,1099.26,17.09,197.26,4.9
INV-0114,A,São Paulo,Normal,Feminino,Alimentos e Bebidas,Café Premium,343.76,10,171.88,3609.48,2024-06-14,20:20:00,Pix,3437.6,29.29,1057.22,9.9
INV-0115,A,São Paulo,Normal,Feminino,Alimentos e Bebidas,Suco Natural,400.2,10,200.1,4202.1,2024-06-07,17:28:00,Dinheiro,4002.0,11.69,491.23,7.0
INV-0116,B,Rio de Janeiro,Membro,Feminino,Eletrônicos,Smartphone,311.35,9,140.11,2942.26,2024-01-22,17:58:00,Cartão de Crédito,2802.15,21.53,633.47,7.5
INV-0117,B,Rio de Janeiro,Membro,Feminino,Esporte e Saúde,Tênis Corrida,230.76,6,69.23,1453.79,2024-11-26,12:02:00,Cartão de Crédito,1384.56,39.47,573.81,4.5
INV-0118,B,Rio de Janeiro,Normal,Masculino,Alimentos e Bebidas,Suco Natural,459.79,7,160.93,3379.46,2024-11-02,10:50:00,Dinheiro,3218.53,22.26,752.27,6.0
INV-0119,A,São Paulo,Membro,Feminino,Beleza e Cuidados,Shampoo Premium,149.23,10,74.61,1566.91,2024-10-25,20:09:00,Pix,1492.3,36.2,567.22,6.0
INV-0120,C,Brasília,Membro,Feminino,Moda e Acessórios,Bolsa,161.7,7,56.6,1188.5,2024-03-06,20:44:00,Cartão de Crédito,1131.9,29.3,348.23,6.0
INV-0121,A,São Paulo,Normal,Feminino,Beleza e Cuidados,Sérum Facial,187.67,3,28.15,591.16,2024-09-05,13:14:00,Cartão de Crédito,563.01,38.54,227.83,6.1
INV-0122,A,São Paulo,Membro,Feminino,Alimentos e Bebidas,Chocolate Importado,334.35,10,167.18,3510.68,2024-03-24,12:53:00,Cartão de Crédito,3343.5,13.93,489.04,6.3
INV-0123,A,São Paulo,Membro,Feminino,Beleza e Cuidados,Sérum Facial,188.51,4,37.7,791.74,2024-08-17,13:34:00,Pix,754.04,39.09,309.49,7.7
INV-0124,B,Rio de Janeiro,Normal,Masculino,Alimentos e Bebidas,Vinho Tinto,236.22,5,59.05,1240.15,2024-08-02,12:52:00,Pix,1181.1,33.34,413.47,7.0
INV-0125,A,São Paulo,Membro,Feminino,Alimentos e Bebidas,Snack Orgânico,438.32,9,197.24,4142.12,2024-09-21,11:18:00,Pix,3944.88,38.03,1575.25,8.3
INV-0126,B,Rio de Janeiro,Membro,Feminino,Eletrônicos,Tablet,54.94,4,10.99,230.75,2024-01-14,16:03:00,Pix,219.76,34.5,79.61,9.3
INV-0127,B,Rio de Janeiro,Normal,Masculino,Casa e Jardim,Quadro,193.71,1,9.69,203.4,2024-12-31,20:21:00,Cartão de Crédito,193.71,19.56,39.79,4.6
INV-0128,A,São Paulo,Normal,Feminino,Alimentos e Bebidas,Chocolate Importado,381.83,8,152.73,3207.37,2024-02-10,10:16:00,Cartão de Débito,3054.64,23.46,752.45,4.0
INV-0129,C,Brasília,Membro,Feminino,Alimentos e Bebidas,Chocolate Importado,126.44,2,12.64,265.52,2024-11-14,17:04:00,Dinheiro,252.88,11.43,30.35,6.5
INV-0130,C,Brasília,Membro,Masculino,Eletrônicos,Fone de Ouvido,152.72,1,7.64,160.36,2024-08-01,12:42:00,Cartão de Débito,152.72,28.44,45.61,5.4
INV-0131,C,Brasília,Membro,Feminino,Beleza e Cuidados,Perfume,201.32,8,80.53,1691.09,2024-07-10,14:47:00,Cartão de Crédito,1610.56,11.31,191.26,6.3
INV-0132,A,São Paulo,Membro,Feminino,Eletrônicos,Notebook,388.04,6,116.41,2444.65,2024-06-22,20:11:00,Cartão de Crédito,2328.24,14.0,342.25,6.1
INV-0133,C,Brasília,Membro,Feminino,Beleza e Cuidados,Protetor Solar,40.92,8,16.37,343.73,2024-04-12,10:20:00,Cartão de Débito,327.36,11.11,38.19,5.2
INV-0134,B,Rio de Janeiro,Normal,Feminino,Moda e Acessórios,Relógio,379.11,4,75.82,1592.26,2024-01-25,20:21:00,Cartão de Crédito,1516.44,18.58,295.84,9.2
INV-0135,B,Rio de Janeiro,Normal,Feminino,Moda e Acessórios,Camiseta,448.37,7,156.93,3295.52,2024-12-20,17:23:00,Pix,3138.59,20.17,664.71,5.1
INV-0136,A,São Paulo,Membro,Feminino,Esporte e Saúde,Yoga Mat,305.2,3,45.78,961.38,2024-02-10,15:42:00,Pix,915.6,26.36,253.42,5.9
INV-0137,B,Rio de Janeiro,Membro,Feminino,Moda e Acessórios,Bolsa,182.26,1,9.11,191.37,2024-11-10,16:17:00,Pix,182.26,31.8,60.86,9.5
INV-0138,A,São Paulo,Normal,Feminino,Beleza e Cuidados,Perfume,476.87,3,71.53,1502.14,2024-08-12,10:08:00,Cartão de Débito,1430.61,35.46,532.66,8.1
INV-0139,C,Brasília,Normal,Feminino,Eletrônicos,Tablet,475.24,1,23.76,499.0,2024-07-08,15:28:00,Pix,475.24,28.15,140.47,8.1
INV-0140,A,São Paulo,Normal,Feminino,Eletrônicos,Smartwatch,328.28,4,65.66,1378.78,2024-04-05,17:33:00,Dinheiro,1313.12,38.82,535.24,4.2
INV-0141,A,São Paulo,Normal,Feminino,Casa e Jardim,Quadro,115.14,10,57.57,1208.97,2024-09-08,13:07:00,Pix,1151.4,18.57,224.51,9.5
INV-0142,B,Rio de Janeiro,Normal,Masculino,Alimentos e Bebidas,Café Premium,407.15,6,122.15,2565.05,2024-10-08,18:18:00,Cartão de Crédito,2442.9,30.04,770.54,8.3
INV-0143,C,Brasília,Normal,Masculino,Moda e Acessórios,Tênis,69.47,4,13.89,291.77,2024-09-09,10:23:00,Cartão de Débito,277.88,33.76,98.5,5.4
INV-0144,B,Rio de Janeiro,Membro,Feminino,Esporte e Saúde,Garrafa Térmica,42.22,7,14.78,310.32,2024-09-26,16:49:00,Cartão de Crédito,295.54,39.99,124.1,8.3
INV-0145,A,São Paulo,Normal,Masculino,Casa e Jardim,Quadro,230.49,9,103.72,2178.13,2024-10-09,20:37:00,Cartão de Crédito,2074.41,20.34,443.03,9.3
INV-0146,B,Rio de Janeiro,Membro,Masculino,Alimentos e Bebidas,Chocolate Importado,159.02,3,23.85,500.91,2024-06-26,18:57:00,Cartão de Débito,477.06,19.68,98.58,8.3
INV-0147,B,Rio de Janeiro,Normal,Masculino,Moda e Acessórios,Camiseta,316.26,10,158.13,3320.73,2024-03-27,19:37:00,Cartão de Débito,3162.6,26.0,863.39,7.0
INV-0148,C,Brasília,Membro,Feminino,Alimentos e Bebidas,Chocolate Importado,49.8,10,24.9,522.9,2024-10-19,16:39:00,Cartão de Crédito,498.0,17.94,93.81,5.3
INV-0149,B,Rio de Janeiro,Normal,Feminino,Beleza e Cuidados,Perfume,129.99,7,45.5,955.43,2024-01-31,12:28:00,Pix,909.93,18.92,180.77,4.4
